               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034219,             0.01487,          0.00067081,             0.80519,             0.97014,             0.84719,              0.4511,            0.030762,            0.012298,           0.0010854,            0.006535,            0.006535,            0.006535
                  37,            0.034066,            0.014709,          0.00064302,             0.78649,             0.96524,             0.84851,             0.45017,            0.030672,            0.012321,          0.00094825,            0.006436,            0.006436,            0.006436
                  38,            0.033671,            0.014609,          0.00060318,              0.8068,             0.94874,             0.88894,             0.48757,            0.030915,            0.012213,           0.0013787,            0.006337,            0.006337,            0.006337
                  39,            0.034104,            0.014788,          0.00066086,             0.83432,             0.95489,             0.92091,             0.51174,            0.030545,            0.012195,          0.00067232,            0.006238,            0.006238,            0.006238
                  40,            0.033654,            0.014631,           0.0006279,             0.82361,             0.95391,             0.89998,             0.49867,            0.030716,            0.012196,           0.0011591,            0.006139,            0.006139,            0.006139
                  41,            0.033746,            0.014457,          0.00063807,             0.80398,             0.96816,             0.88818,             0.48653,            0.030645,             0.01215,           0.0010146,             0.00604,             0.00604,             0.00604
                  42,            0.033595,            0.014662,          0.00062737,             0.82823,             0.95633,              0.8997,             0.50207,            0.030102,            0.012041,           0.0010042,            0.005941,            0.005941,            0.005941
                  43,            0.033283,            0.014555,          0.00061748,             0.81656,             0.96865,             0.89678,             0.49946,            0.030101,            0.012059,           0.0011067,            0.005842,            0.005842,            0.005842
                  44,            0.033527,            0.014674,          0.00060606,             0.83677,             0.96326,             0.90595,             0.50138,            0.030002,            0.011961,           0.0011228,            0.005743,            0.005743,            0.005743
                  45,            0.033316,            0.014445,          0.00060521,              0.8556,             0.88144,             0.89542,             0.50132,            0.030067,            0.011988,           0.0010383,            0.005644,            0.005644,            0.005644
                  46,            0.033211,            0.014358,          0.00063723,             0.83276,             0.95354,             0.89289,             0.50112,            0.030077,             0.01205,           0.0012393,            0.005545,            0.005545,            0.005545
                  47,            0.033129,            0.014317,          0.00056139,             0.81622,             0.93904,             0.89922,             0.50568,            0.030097,            0.011945,           0.0011296,            0.005446,            0.005446,            0.005446
                  48,            0.033135,            0.014636,          0.00057654,             0.82783,             0.96688,             0.91345,             0.51062,            0.030002,            0.011949,          0.00081121,            0.005347,            0.005347,            0.005347
                  49,            0.033181,            0.014599,          0.00060424,             0.81789,             0.96432,             0.90435,              0.5044,            0.029742,            0.011957,          0.00065522,            0.005248,            0.005248,            0.005248
                  50,            0.032769,            0.014312,          0.00055014,             0.86188,             0.88703,             0.90389,             0.50343,            0.029926,            0.012019,           0.0013465,            0.005149,            0.005149,            0.005149
                  51,            0.032883,            0.014432,          0.00058254,             0.80782,             0.96946,             0.90185,             0.50286,            0.029657,            0.011954,           0.0010249,             0.00505,             0.00505,             0.00505
                  52,             0.03291,            0.014549,           0.0006133,              0.8222,             0.96514,             0.90771,             0.50791,             0.02983,            0.011875,          0.00066674,            0.004951,            0.004951,            0.004951
                  53,            0.032764,            0.014443,          0.00057943,             0.81568,             0.97523,              0.9049,             0.51329,            0.029504,             0.01197,          0.00097647,            0.004852,            0.004852,            0.004852
                  54,            0.032767,             0.01437,          0.00059717,             0.82994,             0.91995,             0.89864,             0.50815,            0.029697,             0.01194,          0.00078524,            0.004753,            0.004753,            0.004753
                  55,            0.032835,            0.014406,          0.00055692,             0.80176,             0.96721,             0.89517,             0.50575,            0.029612,            0.011982,            0.001204,            0.004654,            0.004654,            0.004654
                  56,            0.032615,            0.014437,          0.00052828,             0.86421,             0.94549,             0.91596,             0.52015,            0.029332,            0.011844,          0.00098078,            0.004555,            0.004555,            0.004555
                  57,             0.03252,            0.014512,          0.00058841,             0.85758,              0.9485,             0.88806,             0.49883,            0.029361,            0.011935,           0.0010146,            0.004456,            0.004456,            0.004456
                  58,            0.032491,            0.014174,          0.00054784,             0.83278,             0.91876,             0.89687,             0.51162,             0.02948,            0.011996,           0.0010299,            0.004357,            0.004357,            0.004357
                  59,            0.032258,            0.014327,          0.00055423,             0.80338,              0.9673,             0.87806,             0.49195,            0.029362,            0.011881,           0.0011148,            0.004258,            0.004258,            0.004258
                  60,            0.032316,            0.014186,          0.00050935,             0.82688,             0.95923,             0.91029,             0.51452,             0.02943,            0.011799,           0.0011152,            0.004159,            0.004159,            0.004159
                  61,            0.032217,            0.014115,          0.00053915,             0.83212,               0.958,             0.90432,             0.51988,             0.02948,             0.01173,          0.00092679,             0.00406,             0.00406,             0.00406
                  62,            0.032654,            0.014079,            0.000541,             0.82586,             0.96169,             0.89335,             0.51388,             0.02928,            0.011765,          0.00095893,            0.003961,            0.003961,            0.003961
                  63,            0.032125,            0.014324,            0.000549,             0.81426,             0.96647,              0.8862,             0.49995,             0.02938,            0.011824,           0.0011737,            0.003862,            0.003862,            0.003862
                  64,            0.032408,            0.014165,          0.00052021,             0.83009,              0.9631,             0.90092,             0.51714,            0.029286,            0.011773,           0.0012202,            0.003763,            0.003763,            0.003763
                  65,            0.032085,            0.014224,           0.0005582,             0.82395,             0.96701,             0.90293,             0.51572,            0.029017,            0.011713,          0.00098491,            0.003664,            0.003664,            0.003664
                  66,            0.032078,            0.014215,          0.00052396,             0.82295,             0.97439,             0.90552,             0.52206,            0.029087,            0.011775,          0.00099052,            0.003565,            0.003565,            0.003565
                  67,            0.032066,            0.014019,          0.00051945,             0.81028,              0.9604,             0.91058,             0.52948,            0.028836,            0.011717,          0.00088759,            0.003466,            0.003466,            0.003466
                  68,            0.031975,            0.014125,          0.00056693,             0.81533,             0.97233,              0.9031,             0.52442,            0.028545,            0.011701,           0.0010083,            0.003367,            0.003367,            0.003367
                  69,            0.031784,            0.014129,          0.00050447,             0.82962,             0.96628,             0.89185,             0.50781,            0.028856,            0.011735,          0.00097761,            0.003268,            0.003268,            0.003268
                  70,            0.031822,            0.013958,          0.00050938,             0.82342,             0.96796,             0.90356,             0.52219,            0.028797,            0.011759,           0.0011286,            0.003169,            0.003169,            0.003169
                  71,            0.031796,            0.014263,          0.00052485,             0.80893,              0.9724,             0.87205,             0.49928,             0.02865,            0.011802,           0.0011874,             0.00307,             0.00307,             0.00307
                  72,            0.031531,             0.01402,           0.0005076,             0.81198,              0.9704,             0.88811,             0.51467,            0.028566,            0.011716,            0.001014,            0.002971,            0.002971,            0.002971
                  73,            0.031668,            0.013931,          0.00049757,             0.81892,             0.95771,              0.8785,             0.49945,            0.028932,            0.011766,           0.0011085,            0.002872,            0.002872,            0.002872
                  74,            0.031912,            0.013978,          0.00049259,             0.82195,             0.95456,             0.89688,             0.52089,            0.028667,             0.01165,          0.00097662,            0.002773,            0.002773,            0.002773
                  75,            0.031514,            0.013838,          0.00051938,              0.8103,             0.96896,             0.87671,             0.49984,            0.028669,            0.011702,           0.0010916,            0.002674,            0.002674,            0.002674
                  76,            0.031417,            0.013901,          0.00050245,             0.82541,             0.96303,             0.89392,             0.51643,             0.02862,            0.011653,           0.0010288,            0.002575,            0.002575,            0.002575
                  77,            0.031433,            0.013813,          0.00047626,             0.83081,             0.96885,             0.89657,             0.51895,            0.028557,             0.01164,           0.0009508,            0.002476,            0.002476,            0.002476
                  78,            0.031332,            0.014079,          0.00049068,             0.83429,             0.96998,             0.90047,             0.52534,            0.028458,            0.011639,          0.00078853,            0.002377,            0.002377,            0.002377
                  79,            0.031217,            0.013934,          0.00047583,             0.83372,             0.96477,             0.89864,             0.52242,            0.028422,            0.011603,          0.00093302,            0.002278,            0.002278,            0.002278
                  80,            0.031392,            0.013924,          0.00051119,             0.82608,             0.96186,              0.8966,             0.52509,            0.028383,            0.011577,          0.00097254,            0.002179,            0.002179,            0.002179
                  81,            0.031201,             0.01383,          0.00052497,             0.82808,             0.96653,             0.89941,             0.52706,            0.028322,            0.011569,          0.00095022,             0.00208,             0.00208,             0.00208
                  82,            0.031061,            0.013837,          0.00049303,             0.82246,             0.96953,             0.89775,             0.52561,            0.028324,            0.011597,           0.0010382,            0.001981,            0.001981,            0.001981
                  83,            0.031123,            0.013739,          0.00050896,             0.82339,             0.96488,             0.89946,             0.52669,            0.028264,            0.011619,           0.0010186,            0.001882,            0.001882,            0.001882
                  84,            0.031061,             0.01372,          0.00046799,             0.83031,             0.96478,             0.90091,             0.52774,            0.028278,            0.011538,          0.00093288,            0.001783,            0.001783,            0.001783
                  85,            0.030821,            0.013643,          0.00045933,             0.81476,             0.96378,             0.89402,             0.52319,            0.028214,            0.011622,          0.00099353,            0.001684,            0.001684,            0.001684
                  86,            0.030869,            0.013706,          0.00048656,             0.82232,             0.95947,             0.89535,             0.52346,            0.028267,            0.011621,           0.0010365,            0.001585,            0.001585,            0.001585
