               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074509,            0.030494,            0.027978,             0.75813,             0.29278,             0.29432,             0.10287,            0.050509,            0.013713,            0.010227,             0.07002,           0.0033311,           0.0033311
                   1,            0.056038,            0.021156,           0.0083626,             0.45272,             0.52083,             0.48996,             0.16645,            0.047388,            0.011928,           0.0033819,            0.039954,           0.0065984,           0.0065984
                   2,            0.051682,            0.018642,            0.005036,             0.47632,             0.54294,              0.5341,             0.20789,            0.045837,            0.011662,           0.0025647,           0.0098225,           0.0097998,           0.0097998
                   3,            0.047745,            0.018567,           0.0041542,             0.56667,             0.57152,             0.57703,             0.22382,            0.042768,            0.011221,           0.0019782,            0.009703,            0.009703,            0.009703
                   4,            0.044468,            0.018048,           0.0034421,             0.62519,             0.63316,             0.63396,             0.26694,            0.039383,            0.011193,           0.0016556,            0.009703,            0.009703,            0.009703
                   5,            0.042523,            0.017538,           0.0027065,             0.61995,             0.63592,             0.64207,             0.27108,            0.038383,            0.011146,           0.0012829,            0.009604,            0.009604,            0.009604
                   6,            0.041334,            0.017103,           0.0025794,              0.5821,             0.59966,             0.63787,             0.26862,            0.038329,            0.011263,           0.0011885,            0.009505,            0.009505,            0.009505
                   7,            0.040107,            0.016671,           0.0022619,             0.62012,             0.65333,              0.6531,             0.26641,            0.038003,            0.010921,           0.0012661,            0.009406,            0.009406,            0.009406
                   8,            0.039422,            0.016749,           0.0019319,             0.61456,             0.64972,             0.65046,             0.28824,            0.036924,             0.01091,          0.00094262,            0.009307,            0.009307,            0.009307
                   9,            0.039018,            0.016542,           0.0018243,             0.63866,             0.63291,             0.67173,             0.29741,            0.036567,            0.010658,          0.00091992,            0.009208,            0.009208,            0.009208
                  10,            0.038691,            0.016203,           0.0018282,             0.89734,             0.66135,              0.6781,             0.31095,            0.035853,            0.010492,          0.00070077,            0.009109,            0.009109,            0.009109
                  11,            0.038409,            0.016204,           0.0016562,             0.64074,             0.66989,             0.67456,             0.29652,            0.035603,            0.010794,          0.00073418,             0.00901,             0.00901,             0.00901
                  12,            0.037926,            0.016148,           0.0014179,               0.628,             0.82977,             0.68707,             0.31918,            0.035124,            0.010432,          0.00070927,            0.008911,            0.008911,            0.008911
                  13,            0.037496,            0.016187,           0.0014207,             0.65295,             0.67619,             0.68268,             0.31515,            0.035339,            0.010457,          0.00057473,            0.008812,            0.008812,            0.008812
                  14,            0.037432,            0.016025,           0.0013904,             0.64847,             0.65629,             0.67598,              0.3023,            0.035625,             0.01059,          0.00055947,            0.008713,            0.008713,            0.008713
                  15,            0.037443,            0.016168,           0.0013713,             0.65382,             0.67755,             0.68608,             0.31042,            0.035577,            0.010331,             0.00052,            0.008614,            0.008614,            0.008614
                  16,            0.037038,            0.015715,           0.0014038,             0.63043,             0.95689,              0.6986,             0.31745,            0.034761,            0.010423,          0.00049409,            0.008515,            0.008515,            0.008515
                  17,             0.03672,            0.015902,            0.001217,             0.62705,             0.89691,             0.69434,             0.31724,            0.035138,            0.010321,          0.00057459,            0.008416,            0.008416,            0.008416
                  18,            0.036379,            0.015896,           0.0012199,             0.63079,             0.89648,             0.69698,              0.3219,             0.03468,            0.010329,          0.00053004,            0.008317,            0.008317,            0.008317
                  19,            0.036372,            0.015691,           0.0012033,             0.66638,             0.67958,             0.70738,             0.32873,            0.034136,            0.010178,          0.00043513,            0.008218,            0.008218,            0.008218
                  20,            0.036401,             0.01565,           0.0012023,             0.67498,             0.67925,              0.7076,             0.33341,            0.034208,             0.01006,          0.00040217,            0.008119,            0.008119,            0.008119
                  21,            0.036102,            0.015729,           0.0012999,             0.65593,             0.92388,             0.71168,             0.33369,            0.034338,            0.010187,          0.00038676,             0.00802,             0.00802,             0.00802
                  22,            0.036171,            0.015573,           0.0011381,             0.64258,             0.90428,             0.70666,             0.33641,            0.033985,            0.010124,          0.00038288,            0.007921,            0.007921,            0.007921
                  23,             0.03579,            0.015382,            0.001157,             0.65333,             0.67893,             0.68316,             0.31958,            0.034289,            0.010229,          0.00038383,            0.007822,            0.007822,            0.007822
                  24,            0.035738,            0.015542,           0.0011322,             0.65364,             0.67409,             0.70367,              0.3292,             0.03398,            0.010259,          0.00037237,            0.007723,            0.007723,            0.007723
                  25,            0.035645,             0.01553,           0.0011393,             0.64916,             0.92906,             0.70751,             0.32907,            0.034409,            0.010076,           0.0003616,            0.007624,            0.007624,            0.007624
                  26,            0.035438,            0.015608,           0.0010219,             0.65307,             0.96045,             0.71179,             0.34102,            0.033608,            0.010001,          0.00030546,            0.007525,            0.007525,            0.007525
                  27,            0.035368,            0.015555,           0.0010569,             0.91945,             0.69522,              0.7121,             0.34073,            0.033553,           0.0099936,          0.00029576,            0.007426,            0.007426,            0.007426
                  28,            0.035105,            0.015476,           0.0011319,             0.63758,              0.8728,             0.70682,             0.34333,              0.0336,            0.010049,          0.00029481,            0.007327,            0.007327,            0.007327
                  29,            0.035208,            0.015274,          0.00095667,              0.6652,             0.87439,             0.71046,             0.34914,             0.03312,            0.009841,          0.00038887,            0.007228,            0.007228,            0.007228
                  30,            0.035406,            0.015475,          0.00090301,             0.66636,             0.90445,             0.71253,              0.3472,            0.033216,           0.0097729,            0.000306,            0.007129,            0.007129,            0.007129
                  31,            0.035059,            0.015251,          0.00096153,             0.93342,              0.6819,             0.71353,             0.35183,            0.033301,            0.009877,          0.00028712,             0.00703,             0.00703,             0.00703
                  32,            0.034905,            0.015316,          0.00097629,             0.67587,             0.84225,              0.7175,             0.35401,            0.032846,           0.0097508,          0.00030014,            0.006931,            0.006931,            0.006931
                  33,            0.035082,            0.015317,           0.0010896,             0.66569,               0.895,             0.71091,             0.35054,            0.032887,           0.0097514,          0.00031745,            0.006832,            0.006832,            0.006832
                  34,            0.034554,            0.015067,          0.00093593,             0.66041,             0.83883,             0.71851,             0.35082,            0.032547,           0.0096931,          0.00025052,            0.006733,            0.006733,            0.006733
                  35,            0.034698,            0.014905,          0.00090189,             0.67574,             0.79216,             0.71547,             0.34997,            0.032453,           0.0097274,          0.00030559,            0.006634,            0.006634,            0.006634
                  36,            0.034676,            0.015302,          0.00097819,             0.68023,             0.92841,             0.72209,             0.35254,            0.032359,            0.010072,          0.00024749,            0.006535,            0.006535,            0.006535
                  37,            0.034175,            0.015224,          0.00084885,             0.66645,             0.95899,             0.71512,             0.35127,            0.032545,           0.0097926,           0.0002538,            0.006436,            0.006436,            0.006436
                  38,            0.034307,            0.015038,          0.00086312,             0.66363,             0.82682,             0.71669,             0.35453,            0.032392,           0.0097701,          0.00032375,            0.006337,            0.006337,            0.006337
